site,month,date,time,chamber,side,spp,number
Duke,May,5/12/2010,16,3,b,crli,2
Duke,May,5/12/2010,16,4,a,crli,7
Duke,May,5/12/2010,16,4,b,crli,3
Duke,May,5/12/2010,16,5,a,crli,36
Duke,May,5/12/2010,16,5,b,prim,12
Duke,May,5/12/2010,16,6,a,prim,4
Duke,May,5/12/2010,16,6,b,cape,1
Duke,May,5/12/2010,16,7,a,apru,2
Duke,May,5/12/2010,16,7,a,cape,1
Duke,May,5/12/2010,16,7,a,crli,2
Duke,May,5/12/2010,16,7,b,apla,1
Duke,May,5/12/2010,16,7,b,crli,13
Duke,May,5/12/2010,16,8,a,crli,40
Duke,May,5/12/2010,16,8,b,apru,1
Duke,May,5/12/2010,16,9,a,crli,11
Duke,May,5/12/2010,16,9,a,fosu,1
Duke,May,5/12/2010,16,9,b,fosu,2
Duke,May,5/12/2010,16,10,a,cape,3
Duke,May,5/12/2010,16,10,a,fosu,1
Duke,May,5/12/2010,16,10,b,cape,1
Duke,May,5/12/2010,16,11,a,cape,7
Duke,May,5/12/2010,16,11,b,fosu,2
Duke,May,5/12/2010,16,12,a,fosu,2
Duke,May,5/12/2010,16,12,b,prim,37
Duke,May,5/12/2010,16,13,a,apru,1
Duke,May,5/12/2010,16,13,b,none,0
Duke,May,5/12/2010,16,14,a,prim,26
Duke,May,5/12/2010,16,14,b,none,0
Duke,May,5/12/2010,16,15,a,prim,1
Duke,May,5/12/2010,16,15,b,crli,3
Duke,May,5/12/2010,17,1,a,crli,25
Duke,May,5/12/2010,17,1,a,fosu,1
Duke,May,5/12/2010,17,1,b,crli,1
Duke,May,5/12/2010,17,2,a,prim,50
Duke,May,5/12/2010,17,2,b,crli,12
Duke,May,5/12/2010,17,2,b,fosu,1
Duke,May,5/12/2010,17,3,a,apru,2
Duke,May,5/12/2010,17,3,a,crli,3
Duke,May,5/12/2010,17,3,b,apru,1
Duke,May,5/12/2010,17,3,b,crli,5
Duke,May,5/12/2010,17,3,b,tecu,1
Duke,May,5/12/2010,17,4,a,apla,1
Duke,May,5/12/2010,17,4,a,crli,6
Duke,May,5/12/2010,17,4,b,crli,2
Duke,May,5/12/2010,17,5,a,crli,32
Duke,May,5/12/2010,17,5,b,prim,20
Duke,May,5/12/2010,17,6,a,crli,2
Duke,May,5/12/2010,17,6,a,prim,2
Duke,May,5/12/2010,17,6,b,cape,1
Duke,May,5/12/2010,17,6,b,unk,2
Duke,May,5/12/2010,17,6,b,tecu,1
Duke,May,5/12/2010,17,7,a,cape,1
Duke,May,5/12/2010,17,7,a,crli,1
Duke,May,5/12/2010,17,7,b,crli,110
Duke,May,5/12/2010,17,8,a,crli,43
Duke,May,5/12/2010,17,8,b,crli,2
Duke,May,5/12/2010,17,9,a,crli,6
Duke,May,5/12/2010,17,9,b,fosu,5
Duke,May,5/12/2010,17,10,a,cape,3
Duke,May,5/12/2010,17,10,a,fosu,1
Duke,May,5/12/2010,17,10,b,cape,1
Duke,May,5/12/2010,17,10,b,fosu,1
Duke,May,5/12/2010,17,11,a,cape,6
Duke,May,5/12/2010,17,11,b,fosu,3
Duke,May,5/12/2010,17,12,a,fosu,2
Duke,May,5/12/2010,17,12,b,prim,33
Duke,May,5/12/2010,17,13,a,apru,1
Duke,May,5/12/2010,17,13,a,crli,1
Duke,May,5/12/2010,17,13,b,none,0
Duke,May,5/12/2010,17,14,a,prim,45
Duke,May,5/12/2010,17,14,b,crli,2
Duke,May,5/12/2010,17,14,b,prim,11
Duke,May,5/12/2010,17,15,a,prim,71
Duke,May,5/12/2010,17,15,b,none,0
Duke,May,5/12/2010,18,1,a,crli,23
Duke,May,5/12/2010,18,1,b,none,0
Duke,May,5/12/2010,18,2,a,prim,51
Duke,May,5/12/2010,18,2,b,crli,8
Duke,May,5/12/2010,18,2,b,fosu,1
Duke,May,5/12/2010,18,3,a,cape,2
Duke,May,5/12/2010,18,3,b,crli,7
Duke,May,5/12/2010,18,3,b,tecu,1
Duke,May,5/12/2010,18,4,a,apla,1
Duke,May,5/12/2010,18,4,a,crli,4
Duke,May,5/12/2010,18,4,b,crli,4
Duke,May,5/12/2010,18,5,a,crli,30
Duke,May,5/12/2010,18,5,b,prim,8
Duke,May,5/12/2010,18,6,a,prim,2
Duke,May,5/12/2010,18,6,a,tecu,1
Duke,May,5/12/2010,18,6,b,cape,1
Duke,May,5/12/2010,18,6,b,unk,1
Duke,May,5/12/2010,18,6,b,tecu,1
Duke,May,5/12/2010,18,7,a,crli,7
Duke,May,5/12/2010,18,7,b,crli,105
Duke,May,5/12/2010,18,8,a,crli,50
Duke,May,5/12/2010,18,8,b,none,0
Duke,May,5/12/2010,18,9,a,crli,4
Duke,May,5/12/2010,18,9,b,fosu,4
Duke,May,5/12/2010,18,9,b,unk,1
Duke,May,5/12/2010,18,10,a,fosu,1
Duke,May,5/12/2010,18,10,b,cape,1
Duke,May,5/12/2010,18,10,b,fosu,1
Duke,May,5/12/2010,18,11,a,cape,3
Duke,May,5/12/2010,18,11,a,fosu,1
Duke,May,5/12/2010,18,11,b,fosu,7
Duke,May,5/12/2010,18,12,a,fosu,1
